año,Participación del trabajo,Composición laboral,Capital TIC,Capital no-TIC,Capital intangible,PTF (intrasectorial),Reasignación sectorial,Cuña de precios,Salario real (total)
1996,-1.2413,0.5667,0.0491,0.5805,0.0321,0.3278,-0.6961,-0.2333,-0.6145
1997,0.5449,0.1132,0.0219,0.2145,-0.0263,-0.4924,-0.3314,0.2267,0.2711
1998,0.4995,0.1382,0.0216,0.1426,0.0013,-0.6568,-0.681,0.529,-0.0057
1999,-0.3104,0.1292,0.0265,0.2455,0.0217,-0.689,-0.2851,-0.1118,-0.9734
2000,-0.5799,0.1617,0.0259,-0.0972,0.0023,-0.2593,0.66,-0.0865,-0.173
2001,-2.2424,0.4226,-0.0017,0.4637,0.0544,-0.6661,-0.2026,0.792,-1.3801
2002,-0.9618,0.1084,0.0022,0.448,0.082,-1.1364,0.6129,0.6351,-0.2096
2003,-1.075,0.3352,0.0,0.3134,0.1321,-1.9255,1.1679,0.7296,-0.3221
2004,0.0828,0.5202,-0.0023,0.2622,0.0935,-2.3805,1.5266,0.5862,0.6887
2005,-0.4187,0.5619,-0.0018,0.0549,0.0584,-2.2677,1.7137,0.4967,0.1974
2006,0.098,0.1972,0.0371,0.1779,0.073,-0.8218,1.0211,-0.0132,0.7693
2007,-0.4633,0.3946,0.0864,0.2597,0.1122,-0.8061,1.3686,1.1435,2.0955
2008,1.57,0.4759,0.0693,1.1153,0.1006,-1.081,-0.2558,0.3502,2.3445
2009,-0.5932,0.8963,0.0227,2.2451,0.136,-0.3215,-0.1397,1.6653,3.9108
2010,1.1023,0.6741,0.0026,0.7112,0.1297,0.0357,0.5662,-3.194,0.0277
2011,-1.7729,0.788,-0.0145,0.8112,0.1266,0.3268,-0.1494,-3.3762,-3.2604
2012,-1.8956,0.9231,0.0211,1.2771,0.2097,-1.2302,0.9071,-2.8876,-2.6752
2013,-0.2083,0.7237,0.0246,0.7907,0.139,-0.0737,-0.0095,-1.7429,-0.3563
2014,0.4403,0.46,0.0346,-0.1534,0.0099,-0.2919,-0.0179,0.0156,0.4972
2015,-0.3891,0.016,0.0069,-0.5564,0.0422,1.8165,-0.8016,1.31,1.4445
2016,-0.9614,0.1144,0.0009,-0.3763,0.0005,0.6116,-0.2517,0.7176,-0.1444
2017,-0.8611,0.2241,0.0292,-0.2491,0.0695,0.35,0.4382,-0.9064,-0.9056
2018,0.5217,0.2598,0.0779,-0.1026,0.0628,-0.0527,-0.2597,-0.6824,-0.1751
2019,2.611,0.3701,0.0183,-0.3065,-0.0517,-0.6189,0.9282,0.8412,3.7916
2020,4.5308,0.6073,0.034,1.2733,0.0974,-12.388,10.5062,1.9491,6.6101
2021,-0.0067,0.1326,-0.0114,-0.3113,0.0669,5.2828,-6.0476,-0.9808,-1.8756
